                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82723,                0.98825,                  1.047,                0.98896,                0.98211,                0.99363,                0.86798,                0.55676,                0.26454,                0.92429,               0.003332,               0.003332,               0.003332
                      2,                0.63852,                0.46622,                0.94006,                0.99324,                0.98991,                0.99462,                0.89319,                0.49361,                0.22394,                0.89004,              0.0066522,              0.0066522,              0.0066522
                      3,                0.63443,                0.45732,                0.93761,                0.99187,                0.98854,                0.99438,                0.89206,                0.50215,                0.22428,                  0.893,              0.0099591,              0.0099591,              0.0099591
                      4,                0.61246,                0.43566,                0.92873,                 0.9947,                0.99371,                 0.9948,                0.91003,                0.45524,                0.19298,                0.86869,              0.0099406,              0.0099406,              0.0099406
                      5,                0.56385,                0.39162,                0.90914,                0.99629,                0.99511,                 0.9949,                0.92299,                0.42418,                0.17596,                 0.8552,              0.0099406,              0.0099406,              0.0099406
                      6,                0.53495,                0.36661,                0.89777,                0.99696,                0.99577,                 0.9949,                0.93163,                0.40283,                0.16602,                0.84595,              0.0099208,              0.0099208,              0.0099208
                      7,                 0.5152,                0.35172,                0.89096,                0.99732,                0.99613,                0.99492,                0.93781,                0.38581,                0.15814,                0.83893,               0.009901,               0.009901,               0.009901
                      8,                0.49916,                0.33991,                0.88531,                0.99761,                0.99661,                0.99493,                0.94286,                0.37121,                 0.1518,                0.83287,              0.0098812,              0.0098812,              0.0098812
                      9,                0.48619,                 0.3308,                0.88073,                0.99787,                0.99701,                0.99495,                0.94644,                0.36089,                0.14719,                0.82876,              0.0098614,              0.0098614,              0.0098614
                     10,                0.47478,                0.32396,                 0.8767,                0.99796,                0.99707,                0.99494,                0.94897,                 0.3526,                0.14388,                0.82562,              0.0098416,              0.0098416,              0.0098416
                     11,                0.46408,                 0.3168,                0.87327,                0.99791,                0.99719,                0.99494,                0.95126,                0.34567,                 0.1415,                0.82306,              0.0098218,              0.0098218,              0.0098218
                     12,                0.45707,                0.31323,                 0.8713,                0.99794,                0.99733,                0.99495,                0.95268,                0.34051,                0.13942,                0.82109,               0.009802,               0.009802,               0.009802
                     13,                0.45085,                0.30974,                0.86906,                0.99793,                0.99748,                0.99495,                0.95391,                0.33655,                0.13804,                0.81963,              0.0097822,              0.0097822,              0.0097822
                     14,                0.44343,                0.30437,                0.86641,                 0.9979,                0.99754,                0.99495,                0.95483,                0.33338,                0.13682,                0.81842,              0.0097624,              0.0097624,              0.0097624
                     15,                0.43809,                0.30191,                0.86487,                0.99794,                0.99762,                0.99495,                0.95579,                0.33036,                0.13579,                0.81732,              0.0097426,              0.0097426,              0.0097426
                     16,                0.43229,                0.29825,                0.86312,                  0.998,                0.99763,                0.99495,                0.95648,                0.32748,                0.13491,                0.81624,              0.0097228,              0.0097228,              0.0097228
                     17,                0.42878,                0.29661,                 0.8619,                0.99795,                0.99767,                0.99495,                0.95721,                0.32496,                0.13401,                 0.8153,               0.009703,               0.009703,               0.009703
                     18,                0.42477,                0.29439,                0.86088,                 0.9981,                0.99754,                0.99495,                0.95793,                 0.3226,                0.13322,                0.81445,              0.0096832,              0.0096832,              0.0096832
                     19,                0.41996,                0.29164,                0.85973,                0.99797,                0.99776,                0.99495,                0.95876,                0.32005,                0.13245,                 0.8136,              0.0096634,              0.0096634,              0.0096634
                     20,                0.41704,                0.28984,                0.85844,                0.99802,                 0.9977,                0.99495,                0.95947,                0.31718,                0.13159,                0.81266,              0.0096436,              0.0096436,              0.0096436
                     21,                0.41405,                0.28889,                0.85757,                0.99808,                0.99758,                0.99495,                0.96031,                0.31439,                0.13073,                0.81172,              0.0096238,              0.0096238,              0.0096238
                     22,                0.41075,                0.28636,                0.85648,                0.99796,                 0.9978,                0.99495,                 0.9611,                0.31165,                0.12991,                0.81079,               0.009604,               0.009604,               0.009604
                     23,                0.40777,                0.28431,                0.85595,                  0.998,                0.99781,                0.99495,                0.96195,                0.30877,                0.12902,                0.80984,              0.0095842,              0.0095842,              0.0095842
                     24,                 0.4035,                0.28329,                0.85433,                0.99803,                0.99781,                0.99495,                 0.9627,                0.30583,                0.12814,                0.80886,              0.0095644,              0.0095644,              0.0095644
                     25,                0.40219,                0.28203,                0.85422,                0.99818,                0.99774,                0.99495,                0.96348,                0.30291,                0.12724,                0.80792,              0.0095446,              0.0095446,              0.0095446
                     26,                0.40194,                0.28204,                0.85467,                0.99833,                 0.9976,                0.99495,                0.96422,                 0.3002,                0.12653,                0.80702,              0.0095248,              0.0095248,              0.0095248
                     27,                0.39788,                0.27986,                0.85303,                0.99837,                0.99766,                0.99495,                0.96488,                0.29764,                0.12559,                 0.8062,               0.009505,               0.009505,               0.009505
                     28,                0.39532,                0.27802,                0.85208,                0.99829,                0.99772,                0.99495,                0.96555,                0.29497,                0.12478,                0.80536,              0.0094852,              0.0094852,              0.0094852
                     29,                0.39384,                0.27794,                0.85158,                0.99823,                0.99784,                0.99495,                0.96625,                0.29239,                0.12403,                0.80456,              0.0094654,              0.0094654,              0.0094654
